,Unnamed: 0,Kommune,Bundesland,Haushalte mit niedrigem Einkommen (%),GKZ,Allgemeine Deckungsmittel (Euro je Einwohner:in),ARS,Anteil ab 65-Jährige (%),Langzeitarbeitslosenquote (%),Verschuldung im Kernhaushalt (Euro je Einwohner:in),Verwaltungstyp,socioeconomic_vulnerability_index,ags,starkregentage_jetzt,starkregentage_zukunft,trockentage_jetzt,trockentage_zukunft,tropennächte_jetzt,tropennächte_zukunft,heiße_tage_jetzt,heiße_tage_zukunft,schwüle_tage_jetzt,schwüle_tage_zukunft,climate_vulnerability_index
360,360,Memmingen,Bayern,39.9,9764000,2.086,97640000000,21.8,1.2,423.0,kreisfreie Stadt,2.475118026408374,9764000,9.2,1.7,51.4,2.5,0.0,0.6,2.4,3.7,1.2,12.6,2.6273029451660728
361,361,M�nchengladbach,Nordrhein-Westfalen,48.7,5116000,2.506,51160000000,21.3,6.0,2.945,kreisfreie Stadt,2.628759647233421,5116000,2.9,0.8,59.7,2.9,0.3,2.1,6.1,4.1,6.5,12.3,2.653474208274014
362,362,M�lheim an der Ruhr,Nordrhein-Westfalen,39.3,5117000,2.411,51170000000,24.1,6.0,9.364,kreisfreie Stadt,2.5728521109652447,5117000,4.2,1.1,58.3,2.9,0.7,2.7,6.5,3.9,5.3,11.5,2.8309484963400653
363,363,M�nchen,Bayern,40.1,9162000,3.707,91620000000,17.4,1.7,1.033,kreisfreie Stadt,1.6320224129026737,9162000,7.7,1.3,52.4,2.4,0.0,1.1,4.1,4.8,1.8,14.1,2.743342089459472
364,364,M�nster,Nordrhein-Westfalen,48.2,5515000,2.161,55150000000,17.7,2.9,2.476,kreisfreie Stadt,2.244267209658227,5515000,3.3,0.9,58.9,2.6,0.1,1.4,5.0,3.1,5.2,11.7,2.337612181304306
365,365,Neum�nster,Schleswig-Holstein,46.7,1004000,2.302,10040000000,23.0,4.8,1.445,kreisfreie Stadt,2.55391130219636,1004000,3.2,0.8,57.8,1.5,0.1,0.5,2.0,1.1,3.0,8.5,1.4353973223472298
366,366,Neustadt an der Weinstra�e,Rheinland-Pfalz,38.9,7316000,1.845,73160000000,25.0,3.2,1.786,kreisfreie Stadt,2.3969422591706104,7316000,4.0,0.8,62.7,3.0,0.3,2.5,6.8,6.4,5.5,13.0,3.0617495873911786
367,367,N�rnberg,Bayern,47.1,9564000,2.684,95640000000,20.3,2.5,2.941,kreisfreie Stadt,2.1483887771211734,9564000,4.1,1.0,59.1,2.0,0.0,1.4,6.0,5.7,2.0,12.2,2.566845778791277
368,368,Oberhausen,Nordrhein-Westfalen,48.2,5119000,2.276,51190000000,22.4,7.1,9.439,kreisfreie Stadt,2.828845993499656,5119000,3.3,1.0,59.0,2.8,0.6,2.2,6.6,3.8,5.8,11.9,2.6779367669106624
369,369,Offenbach am Main,Hessen,48.2,6413000,3.1,64130000000,16.5,5.2,2.93,kreisfreie Stadt,2.263133462053071,6413000,4.2,1.1,60.1,2.7,0.2,2.7,6.3,5.4,3.9,11.9,2.9795527656339904
370,370,Oldenburg (Oldenburg),Niedersachsen,46.6,3403000,2.338,34030000000,19.6,3.3,315.0,kreisfreie Stadt,2.5958907256866937,3403000,2.6,0.8,56.8,2.1,0.1,0.8,3.1,1.7,5.1,9.6,1.7715197023337073
371,371,Osnabr�ck,Niedersachsen,46.2,3404000,2.109,34040000000,18.8,4.0,3.665,kreisfreie Stadt,2.3748447804798585,3404000,3.2,0.9,58.0,2.6,0.1,1.1,4.5,2.6,4.9,11.3,2.1975078637152015
372,372,Passau,Bayern,45.0,9262000,2.077,92620000000,21.6,2.3,2.63,kreisfreie Stadt,2.256128965268064,9262000,7.1,1.4,54.4,1.9,0.0,1.5,4.5,6.4,3.5,14.7,2.965826435521735
373,373,Pforzheim,Baden-W�rttemberg,42.6,8231000,2.387,82310000000,20.3,3.3,811.0,kreisfreie Stadt,3.0382883900138973,8231000,7.8,1.3,56.6,2.7,0.0,2.2,3.5,4.9,2.6,11.1,2.863379759699982
374,374,Pirmasens,Rheinland-Pfalz,47.0,7317000,2.169,73170000000,26.0,6.5,10.241,kreisfreie Stadt,2.872607328510424,7317000,5.6,1.0,60.1,3.4,0.0,1.8,4.9,5.4,4.8,12.1,2.9381753451005594
375,375,Potsdam,Brandenburg,44.3,12054000,2.312,120540000000,19.8,2.7,306.0,kreisfreie Stadt,2.491669054322741,12054000,1.8,0.7,63.9,1.3,0.2,2.1,8.0,4.1,3.9,10.5,2.121900709309211
376,376,Regensburg,Bayern,45.9,9362000,2.696,93620000000,17.4,1.4,510.0,kreisfreie Stadt,2.4309416694020327,9362000,3.7,0.9,56.8,2.1,0.0,1.2,6.0,5.8,3.2,13.3,2.5849317988064793
377,377,Remscheid,Nordrhein-Westfalen,39.9,5120000,2.116,51200000000,22.1,4.0,5.852,kreisfreie Stadt,2.3627807127094465,5120000,9.6,1.3,55.3,3.2,0.2,1.5,3.8,2.6,3.3,10.9,2.568899898790101
378,378,Rosenheim,Bayern,41.2,9163000,2.064,91630000000,20.2,1.7,796.0,kreisfreie Stadt,2.887834115268704,9163000,13.0,1.8,47.8,2.0,0.0,0.9,3.6,5.4,3.2,11.8,2.7583403676313107
379,379,Rostock,Mecklenburg-Vorpommern,55.6,13003000,1.782,130030000000,24.5,3.6,486.0,kreisfreie Stadt,3.2249368644224763,13003000,2.2,0.7,62.3,1.2,0.0,0.8,2.4,1.5,3.3,9.0,1.4550529357170154
380,380,Salzgitter,Niedersachsen,44.4,3102000,1.963,31020000000,23.1,4.9,3.586,kreisfreie Stadt,2.6010887352789838,3102000,3.8,0.9,59.0,1.6,0.1,1.3,4.0,2.8,2.9,10.1,1.950188246213028
381,381,Schwabach,Bayern,37.2,9565000,2.045,95650000000,22.0,1.6,872.0,kreisfreie Stadt,2.9409229959618672,9565000,3.7,0.8,58.9,2.0,0.0,1.6,6.1,5.9,2.1,12.1,2.5361410681214016
382,382,Schweinfurt,Bayern,44.7,9662000,2.392,96620000000,24.0,3.0,305.0,kreisfreie Stadt,2.6391498689624817,9662000,2.5,0.8,61.5,1.9,0.0,1.9,7.1,5.0,2.7,11.7,2.4438972740520493
383,383,Schwerin,Mecklenburg-Vorpommern,49.8,13004000,2.063,130040000000,26.700000000000003,4.8,2.065,kreisfreie Stadt,2.770286088797888,13004000,2.0,0.6,61.5,1.8,0.1,0.8,3.1,2.0,3.1,9.7,1.6535697487390757
384,384,Solingen,Nordrhein-Westfalen,43.5,5122000,2.03,51220000000,21.6,4.4,4.686,kreisfreie Stadt,2.4724160843462237,5122000,7.1,1.3,56.5,3.0,0.3,2.3,5.0,3.4,4.2,11.6,2.811764285924265
385,385,Speyer,Rheinland-Pfalz,43.4,7318000,2.243,73180000000,23.5,3.5,2.833,kreisfreie Stadt,2.381555500148041,7318000,4.6,1.1,60.3,2.4,0.4,4.4,9.7,8.3,8.1,14.5,3.72955276563399
386,386,Straubing,Bayern,41.6,9263000,2.357,92630000000,21.8,2.2,1.91,kreisfreie Stadt,2.131113331535865,9263000,5.2,1.2,55.8,2.0,0.0,1.6,5.0,6.0,3.2,13.7,2.8167864597113206
387,387,Stuttgart,Baden-W�rttemberg,39.8,8111000,3.139,81110000000,18.3,2.7,0.0,kreisfreie Stadt,1.8825158017974848,8111000,4.9,1.2,57.1,2.9,0.1,2.4,5.4,6.5,4.2,13.1,3.2096918977486046
388,388,Suhl,Th�ringen,47.8,16054000,1.873,160540000000,33.5,2.9,275.0,kreisfreie Stadt,3.0458432873311625,16054000,4.0,1.0,58.4,2.1,0.0,0.7,2.3,2.1,1.0,8.3,1.8074644400488833
389,389,Trier,Rheinland-Pfalz,46.6,7211000,2.168,72110000000,18.4,3.3,6.716,kreisfreie Stadt,2.283666155330151,7211000,5.3,1.0,60.5,3.9,0.2,1.3,5.0,3.7,3.2,10.7,2.6804481162779954
390,390,Ulm,Baden-W�rttemberg,42.6,8421000,2.55,84210000000,18.8,1.3,745.0,kreisfreie Stadt,2.672401861969578,8421000,4.9,1.1,54.8,2.7,0.0,0.7,2.5,3.6,1.4,11.7,2.368594589259992
391,391,Weiden in der Oberpfalz,Bayern,46.5,9363000,2.109,93630000000,23.4,2.0,1.676,kreisfreie Stadt,2.295663149323961,9363000,4.2,1.1,57.8,2.0,0.0,0.6,3.3,3.6,1.0,9.7,2.0632724604084514
392,392,Weimar,Th�ringen,51.1,16055000,1.963,160550000000,23.9,3.0,841.0,kreisfreie Stadt,3.3829964508035477,16055000,2.9,0.7,61.4,1.4,0.0,1.4,5.1,3.5,2.5,10.9,1.9632993377260948
393,393,Wiesbaden,Hessen,41.8,6414000,2.714,64140000000,20.2,4.7,1.27,kreisfreie Stadt,2.285486864447689,6414000,2.6,0.9,62.6,2.8,0.3,2.3,7.3,5.4,4.5,11.2,2.796307728488697
394,394,Wilhelmshaven,Niedersachsen,46.7,3405000,2.151,34050000000,26.2,6.8,637.0,kreisfreie Stadt,3.545063838600213,3405000,3.0,0.9,56.0,2.3,0.1,0.7,1.4,1.0,4.6,9.6,1.7625493975701225
395,395,Wolfsburg,Niedersachsen,38.4,3103000,1.645,31030000000,22.6,2.5,1.844,kreisfreie Stadt,2.281885530969629,3103000,2.1,0.7,60.3,1.7,0.1,1.2,5.5,3.2,3.8,10.6,1.943172321402324
396,396,Worms,Rheinland-Pfalz,44.5,7319000,2.117,73190000000,21.0,4.2,5.138,kreisfreie Stadt,2.432260177851795,7319000,3.4,0.9,61.9,2.5,0.4,3.4,8.7,6.9,5.9,12.7,3.2022649389590923
397,397,Wuppertal,Nordrhein-Westfalen,48.4,5124000,2.467,51240000000,20.8,5.6,4.549,kreisfreie Stadt,2.574448246561526,5124000,8.4,1.2,56.0,3.0,0.2,1.7,4.0,2.7,3.6,10.8,2.52256014849718
398,398,W�rzburg,Bayern,45.0,9663000,2.196,96630000000,20.3,1.5,1.613,kreisfreie Stadt,2.103221949702079,9663000,2.6,0.8,62.0,2.4,0.0,2.2,6.8,5.7,3.2,12.5,2.7498472402454235
399,399,Zweibr�cken,Rheinland-Pfalz,45.6,7320000,2.285,73200000000,24.1,3.2,7.197,kreisfreie Stadt,2.400910159522299,7320000,5.6,1.1,60.3,3.5,0.1,1.8,5.0,5.5,4.6,12.3,3.0288621445579733
