,Unnamed: 0,Kommune,Bundesland,Haushalte mit niedrigem Einkommen (%),GKZ,Allgemeine Deckungsmittel (Euro je Einwohner:in),ARS,Anteil ab 65-Jährige (%),Langzeitarbeitslosenquote (%),Verschuldung im Kernhaushalt (Euro je Einwohner:in),Verwaltungstyp,socioeconomic_vulnerability_index,ags,starkregentage_jetzt,starkregentage_zukunft,trockentage_jetzt,trockentage_zukunft,tropennächte_jetzt,tropennächte_zukunft,heiße_tage_jetzt,heiße_tage_zukunft,schwüle_tage_jetzt,schwüle_tage_zukunft,climate_vulnerability_index
285,285,"Westerwaldkreis, LK",Rheinland-Pfalz,37.2,7143000,1.687,71430000000,21.9,1.2,375.0,Landkreis,2.4661228816822574,7143000,6.4,1.2,57.6,3.5,0.0,1.0,3.4,2.3,2.6,9.8,2.398852044565952
286,286,"Wetteraukreis, LK",Hessen,36.2,6440000,2.016,64400000000,21.7,1.8,1.353,Landkreis,2.0602945394118946,6440000,3.4,1.1,61.4,2.9,0.1,2.0,6.3,4.8,3.8,11.3,2.785237108336588
287,287,"Wittenberg, LK",Sachsen-Anhalt,52.5,15091000,1.436,150910000000,29.9,3.3,1.682,Landkreis,2.8808465871897884,15091000,2.1,0.8,64.2,1.0,0.1,1.9,8.1,4.8,4.0,11.3,2.1828135302096854
288,288,"Wittmund, LK",Niedersachsen,48.5,3462000,1.83,34620000000,25.4,2.3,1.1,Landkreis,2.48206897809377,3462000,3.1,1.0,56.5,2.1,0.1,0.7,1.3,0.9,4.7,9.4,1.735009596042315
289,289,"Wolfenb�ttel, LK",Niedersachsen,43.2,3158000,1.81,31580000000,24.4,2.4,1.616,Landkreis,2.3743187930047016,3158000,2.5,0.7,60.3,1.3,0.1,1.5,4.6,3.3,3.1,10.9,1.9361091513066997
290,290,"Wunsiedel im Fichtelgebirge, LK",Bayern,45.6,9479000,1.938,94790000000,26.8,1.8,2.553,Landkreis,2.3963173756269973,9479000,5.6,1.0,57.3,2.0,0.0,0.2,1.6,1.5,0.6,8.3,1.6166501833117055
291,291,"W�rzburg, LK",Bayern,39.0,9679000,1.702,96790000000,22.5,0.7,712.0,Landkreis,2.799157850423277,9679000,2.6,0.8,61.9,2.4,0.0,2.2,6.7,5.7,3.1,12.5,2.7498472402454235
292,292,"Zollernalbkreis, LK",Baden-W�rttemberg,32.9,8417000,1.999,84170000000,22.6,1.8,583.0,Landkreis,2.6217584085188417,8417000,5.6,1.2,53.7,3.1,0.0,1.0,1.9,3.2,0.9,9.1,2.3653955585232596
293,293,"Zwickau, LK",Sachsen,51.6,14524000,1.676,145240000000,30.0,2.4,346.0,Landkreis,3.0671426353004216,14524000,3.8,1.1,58.1,1.2,0.1,1.5,4.5,3.6,2.1,10.4,2.0909335248342216
294,294,Amberg,Bayern,44.8,9361000,1.999,93610000000,23.9,2.0,672.0,kreisfreie Stadt,2.9829619895778485,9361000,4.8,1.1,58.4,2.1,0.0,0.8,4.4,4.1,1.4,11.1,2.2671022681936344
295,295,Ansbach,Bayern,40.2,9561000,2.068,95610000000,21.9,1.4,409.0,kreisfreie Stadt,2.495002576035784,9561000,3.4,0.9,60.1,2.5,0.0,1.6,4.0,4.8,1.8,11.2,2.5186587378579617
296,296,Aschaffenburg,Bayern,41.1,9661000,2.254,96610000000,21.2,2.1,650.0,kreisfreie Stadt,2.7717819888618904,9661000,4.8,1.1,59.3,2.8,0.0,2.0,5.2,5.4,3.6,12.0,2.8720597684351103
297,297,Augsburg,Bayern,49.0,9761000,2.28,97610000000,19.6,2.4,1.353,kreisfreie Stadt,2.233876494587402,9761000,5.9,1.2,54.0,2.4,0.0,0.8,4.0,5.1,2.2,14.6,2.7052849625607363
298,298,Baden-Baden,Baden-W�rttemberg,35.7,8211000,2.343,82110000000,26.3,2.4,540.0,kreisfreie Stadt,2.731316564868677,8211000,11.6,1.3,55.6,3.0,0.2,4.5,7.4,7.1,8.6,13.4,3.7755670484085684
299,299,Bamberg,Bayern,44.7,9461000,2.185,94610000000,19.4,1.8,145.0,kreisfreie Stadt,2.2516241216392343,9461000,3.6,1.0,59.6,1.9,0.0,1.6,5.8,4.7,2.6,12.0,2.455404650615869
300,300,Bayreuth,Bayern,45.0,9462000,2.095,94620000000,21.9,1.7,798.0,kreisfreie Stadt,3.0011906243595,9462000,5.2,1.3,57.5,1.9,0.0,0.8,3.2,3.1,1.4,10.5,2.1557829278637994
301,301,Berlin,Berlin,50.1,11000000,2.003987373737373,110000000000,19.2,4.7,282.4545505050507,kreisfreie Stadt,2.837275701114842,11000000,2.2,0.7,63.6,1.2,0.6,2.9,7.9,4.6,3.8,10.2,2.2945680521083998
302,302,Bielefeld,Nordrhein-Westfalen,49.2,5711000,2.354,57110000000,20.1,5.1,1.15,kreisfreie Stadt,2.5331882392747724,5711000,4.3,1.0,57.4,2.0,0.1,1.3,4.4,2.7,3.7,11.3,2.148838920875697
303,303,Bochum,Nordrhein-Westfalen,49.1,5911000,2.416,59110000000,22.6,5.5,4.833,kreisfreie Stadt,2.64062805166514,5911000,4.4,1.1,57.9,2.7,0.3,2.1,5.5,3.6,6.1,11.0,2.601437726514894
304,304,Bonn,Nordrhein-Westfalen,46.0,5314000,2.302,53140000000,18.4,4.6,5.731,kreisfreie Stadt,2.3865948080908064,5314000,4.1,1.2,58.4,3.1,0.1,1.9,6.0,4.0,4.9,11.8,2.794534455461345
305,305,Bottrop,Nordrhein-Westfalen,46.0,5512000,1.935,55120000000,23.200000000000003,4.8,2.74,kreisfreie Stadt,2.626415869030059,5512000,3.5,1.0,58.8,2.7,0.4,2.0,6.1,3.7,6.1,11.8,2.5974649230006848
306,306,Brandenburg an der Havel,Brandenburg,50.5,12051000,2.203,120510000000,28.0,3.8,301.0,kreisfreie Stadt,2.984843471980565,12051000,1.7,0.6,63.9,1.4,0.1,1.7,8.0,4.0,3.9,10.5,2.0123063468265867
307,307,Braunschweig,Niedersachsen,46.8,3101000,2.199,31010000000,21.2,2.5,1.167,kreisfreie Stadt,2.2706937275370964,3101000,2.2,0.8,60.4,1.6,0.1,1.3,5.2,3.2,3.6,10.7,1.9884012825520012
308,308,Bremen,"Bremen, BL",50.1,4011000,2.003987373737373,40110000000,21.1,6.3,282.4545505050507,kreisfreie Stadt,3.0698162948494656,4011000,2.7,0.9,57.0,2.0,0.1,1.0,3.4,1.8,5.1,10.0,1.8657079023513452
309,309,Bremerhaven,"Bremen, BL",53.8,4012000,2.003987373737373,40120000000,22.0,7.4,282.4545505050507,kreisfreie Stadt,3.28293211210536,4012000,3.1,0.9,55.9,2.2,0.1,0.7,2.3,1.3,5.2,9.6,1.7732226323812883
310,310,Chemnitz,Sachsen,54.1,14511000,2.007,145110000000,28.1,3.8,415.0,kreisfreie Stadt,3.2083719387822622,14511000,4.8,1.2,57.4,0.9,0.1,1.2,3.3,2.6,1.6,8.9,1.7999314418421042
311,311,Coburg,Bayern,44.0,9463000,3.161,94630000000,23.9,2.3,270.0,kreisfreie Stadt,2.348833952154727,9463000,3.4,1.1,58.5,2.0,0.0,1.0,5.3,3.8,2.0,10.0,2.18254948156174
312,312,Cottbus,Brandenburg,47.4,12052000,2.212,120520000000,26.700000000000003,3.8,1.081,kreisfreie Stadt,2.58549513448388,12052000,2.5,0.9,63.5,1.1,0.5,2.2,8.6,5.1,4.4,12.1,2.3910266505402764
313,313,Darmstadt,Hessen,45.3,6411000,2.969,64110000000,17.5,2.9,2.864,kreisfreie Stadt,2.016628897410655,6411000,3.4,0.9,60.4,2.7,0.3,3.4,9.0,7.2,5.4,12.7,3.2843667451988297
314,314,Delmenhorst,Niedersachsen,46.1,3401000,1.986,34010000000,22.3,5.8,1.231,kreisfreie Stadt,2.6988959753359367,3401000,2.4,0.8,57.8,2.2,0.1,1.0,3.9,2.1,5.0,10.3,1.9221885905786604
315,315,Dessau-Ro�lau,Sachsen-Anhalt,53.2,15001000,1.509,150010000000,32.5,4.3,41.0,kreisfreie Stadt,3.1051185910003856,15001000,2.1,0.8,64.3,1.1,0.1,1.9,7.9,4.8,4.0,11.3,2.206623054019209
316,316,Dortmund,Nordrhein-Westfalen,50.5,5913000,2.804,59130000000,20.700000000000003,7.1,3.846,kreisfreie Stadt,2.7014411936023555,5913000,4.3,1.0,57.8,2.7,0.2,2.0,5.3,3.4,6.0,11.1,2.5213154977133283
317,317,Dresden,Sachsen,52.5,14612000,2.229,146120000000,22.0,2.9,0.0,kreisfreie Stadt,2.431712216753728,14612000,3.8,1.0,60.1,1.1,0.2,2.2,6.2,4.0,3.7,10.5,2.212830034562551
318,318,Duisburg,Nordrhein-Westfalen,52.5,5112000,2.646,51120000000,20.7,7.2,2.951,kreisfreie Stadt,2.780262910886918,5112000,3.5,1.0,59.0,2.8,0.6,2.2,6.6,3.7,5.6,11.9,2.666442514037099
319,319,D�sseldorf,Nordrhein-Westfalen,40.4,5111000,2.723,51110000000,19.4,4.1,598.0,kreisfreie Stadt,2.7736241364056613,5111000,3.6,1.1,59.3,2.8,0.6,2.6,6.8,4.0,5.6,12.0,2.8287872870287547
320,320,Emden,Niedersachsen,44.8,3402000,2.219,34020000000,21.700000000000003,5.2,2.701,kreisfreie Stadt,2.544312583179648,3402000,2.9,1.0,56.6,1.9,0.1,0.7,1.9,1.1,5.3,9.3,1.7044266732180129
321,321,Erfurt,Th�ringen,52.7,16051000,2.115,160510000000,23.1,2.7,433.0,kreisfreie Stadt,2.908908205322056,16051000,3.2,0.7,61.2,1.3,0.0,1.2,4.3,3.5,2.3,10.0,1.846702699070633
322,322,Erlangen,Bayern,39.8,9562000,3.017,95620000000,17.7,2.1,824.0,kreisfreie Stadt,2.6593171901137875,9562000,3.3,0.9,60.1,1.8,0.1,2.0,7.1,6.5,2.5,12.6,2.709159075924223
323,323,Essen,Nordrhein-Westfalen,48.0,5113000,2.679,51130000000,21.700000000000003,6.4,5.209,kreisfreie Stadt,2.638007265332249,5113000,4.5,1.0,57.9,2.7,0.4,2.2,5.6,3.6,5.8,11.2,2.5894720706873455
324,324,Flensburg,Schleswig-Holstein,47.0,1001000,2.502,10010000000,20.1,4.6,596.0,kreisfreie Stadt,3.010769189535955,1001000,3.7,0.9,58.9,1.5,0.1,0.3,1.1,0.5,2.3,7.3,1.2992658082723345
325,325,Frankenthal (Pfalz),Rheinland-Pfalz,41.7,7311000,1.867,73110000000,23.0,4.2,5.808,kreisfreie Stadt,2.49602465306774,7311000,2.5,0.8,62.3,2.1,0.6,5.0,11.5,8.7,8.6,14.4,3.685361100962124
326,326,Frankfurt am Main,Hessen,46.1,6412000,3.986,64120000000,15.8,2.9,3.46,kreisfreie Stadt,1.7656101835984472,6412000,3.8,1.0,60.9,2.8,0.2,2.3,6.6,5.2,4.0,11.7,2.8465593883730405
327,327,Frankfurt (Oder),Brandenburg,48.9,12053000,2.144,120530000000,27.7,3.7,843.0,kreisfreie Stadt,3.498243063270851,12053000,2.0,0.8,64.3,0.8,0.3,2.0,7.1,4.3,4.4,10.8,2.0675691565981715
328,328,Freiburg im Breisgau,Baden-W�rttemberg,51.2,8311000,2.662,83110000000,17.2,2.8,1.213,kreisfreie Stadt,2.1641570621118182,8311000,10.1,1.7,55.3,3.7,0.2,2.8,5.7,5.2,5.2,11.5,3.451327382527224
329,329,F�rth,Bayern,43.9,9563000,2.219,95630000000,18.8,2.6,1.446,kreisfreie Stadt,2.154858543327035,9563000,3.0,0.9,60.7,1.8,0.1,2.2,7.0,6.3,2.2,12.4,2.713481494546844
330,330,Gelsenkirchen,Nordrhein-Westfalen,52.9,5513000,2.539,55130000000,20.7,9.1,4.673,kreisfreie Stadt,3.020487502820408,5513000,4.0,1.0,58.2,2.7,0.3,2.2,5.9,3.6,6.4,11.2,2.5894720706873455
331,331,Gera,Th�ringen,54.5,16052000,2.061,160520000000,30.5,3.9,746.0,kreisfreie Stadt,3.6220130639241854,16052000,3.0,0.8,61.4,1.1,0.0,1.7,5.4,4.3,3.2,11.1,2.098031341472121
332,332,Hagen,Nordrhein-Westfalen,48.9,5914000,2.336,59140000000,22.1,7.2,5.357,kreisfreie Stadt,2.826426517400697,5914000,6.3,1.1,56.2,2.5,0.1,1.4,3.8,2.6,4.1,10.6,2.277811724389906
333,333,Halle (Saale),Sachsen-Anhalt,55.1,15002000,1.769,150020000000,24.5,4.4,2.335,kreisfreie Stadt,2.8167279834564938,15002000,2.1,0.7,64.5,1.2,0.1,2.1,6.9,4.9,4.4,11.0,2.2198071132500976
334,334,Hamburg,Hamburg,43.7,2000000,2.003987373737373,20000000000,18.1,3.3,282.4545505050507,kreisfreie Stadt,2.537519521426169,2000000,2.6,0.9,57.5,1.9,0.1,1.2,3.6,2.3,3.8,9.1,1.885013900612719
335,335,Hamm,Nordrhein-Westfalen,48.6,5915000,2.133,59150000000,21.4,5.6,2.145,kreisfreie Stadt,2.6640697074225703,5915000,3.7,0.9,58.5,2.5,0.1,1.5,5.0,3.4,5.2,11.8,2.373845640205108
336,336,Heidelberg,Baden-W�rttemberg,42.9,8221000,2.522,82210000000,17.1,2.5,1.378,kreisfreie Stadt,2.0113273268976397,8221000,5.1,1.2,59.5,2.6,0.5,3.9,8.6,7.9,6.7,13.9,3.64091956122779
337,337,Heilbronn,Baden-W�rttemberg,43.1,8121000,2.407,81210000000,19.5,2.3,84.0,kreisfreie Stadt,2.172547794304289,8121000,4.5,1.1,59.2,2.5,0.1,3.2,8.1,7.4,6.8,14.2,3.396762753077243
338,338,Herne,Nordrhein-Westfalen,52.0,5916000,2.29,59160000000,21.9,6.6,4.549,kreisfreie Stadt,2.818199136445912,5916000,3.9,1.0,58.3,2.6,0.3,2.1,5.9,3.6,6.7,11.1,2.540102322788186
339,339,Hof,Bayern,46.7,9464000,2.128,94640000000,24.4,2.5,1.882,kreisfreie Stadt,2.3801843193955703,9464000,5.3,1.0,57.3,1.8,0.0,0.3,1.8,1.6,0.5,8.1,1.5882284697987141
